Fase;Subfase;Codigo;Actividad;Responsable;Tercero_externo;Mes_inicio;Mes_fin;Duracion_semanas_min;Duracion_semanas_max;Precedencia;Hito;Critica
1;Gobierno;1.1;Constitucion del equipo y reglas;ADM;;1;1;2;3;-;;No
1;Gobierno;1.2;Sistema de informacion y archivo;COM;;1;1;1;2;-;;No
1;Gobierno;1.3;Presupuesto maestro por capitulos;DAO+ADM;Contadora;1;2;2;2;-;;No
2;Prefactibilidad;2.1;Verificacion normativa POT;DAO;Curador/Planeacion;1;2;2;4;3.1;G-1;SI
2;Prefactibilidad;2.2;Ruta de licencias;JUR;Curador;2;3;2;3;2.1;;SI
2;Prefactibilidad;2.3;Prefactibilidad tecnica del predio;DAO;;1;2;1;2;-;;No
2;Prefactibilidad;2.4;Prefactibilidad comercial y precio;COM;Inmobiliarias;1;3;3;4;-;G-2;No
3;Debida diligencia;3.1;Estudio de titulos;JUR;ORIP/Abogado;1;2;2;4;-;G-1;SI
3;Debida diligencia;3.2;Regularizacion del englobe (contingente);JUR;Curador/Notario/ORIP;2;8;12;36;3.1;G-1;SI
3;Debida diligencia;3.3;Topografia y amojonamiento;DAO;Topografo;3;3;1;2;3.4;;SI
3;Debida diligencia;3.4;Autorizacion de Rosa;JUR;Notario;1;1;1;1;-;;SI
3;Debida diligencia;3.5;Verificacion ambiental preliminar;JUR;Corpoboyaca;2;4;3;8;-;G-1;SI
4;Juridico;4.1;Acuerdo con la propietaria;JUR;Contadora/Notario;2;3;2;4;3.1;G-3;SI
4;Juridico;4.2;Figura de operacion;JUR;Contadora/Camara;3;4;3;4;4.1;;No
4;Juridico;4.3;Aseguramiento del suelo (garantia real);JUR;Notario/ORIP/Fiduciaria;4;6;3;6;4.1;G-3;SI
4;Juridico;4.4;Estructuracion tributaria;JUR+ADM;Contadora;3;4;3;4;4.2;G-2;No
4;Juridico;4.5;Modelos contractuales;JUR;;4;5;3;4;4.2;;No
5;Diseno;5.1;Implantacion loteo y vias;DAO;;3;4;3;5;2.1+3.3+3.5;;SI
5;Diseno;5.2;Estudio geotecnico;DAO;Geotecnista;4;5;3;5;3.4+5.1;G-2;SI
5;Diseno;5.3;Diseno arquitectonico definitivo;DAO;;4;6;5;8;5.1+5.2;G-3;SI
5;Diseno;5.4;Diseno estructural;DAO;Calculista;6;7;3;5;5.2+5.3;;SI
